Name,RegNr,Beschäftigte,Betrag,GeschäftsjahrStart,GeschäftsjahrEnde,Interessen,Tätigkeit,Ersteintrag,LetzteÄnd
ALDI Nord Holding Stiftung & Co. KG,R002241,5,325000,2023-01-01,2023-12-01,"Sonstiges im Bereich ""Arbeit und Beschäftigung""; Menschenrechte; Allgemeine Energiepolitik; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; EU-Gesetzgebung; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Stadtentwicklung; Wohnen; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Sonstiges im Bereich ""Verkehr""; E-Commerce; Handel und Dienstleistungen; Verbraucherschutz",Unternehmen,28.02.2022,04.04.2024
ALDI SÜD Dienstleistungs-SE & Co. oHG,R001783,5,705000,2022-01-01,2022-12-01,"Menschenrechte; Erneuerbare Energien; Lebensmittelsicherheit; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Artenschutz /Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Sonstiges im Bereich ""Verkehr""; E-Commerce; Handel und Dienstleistungen; Verbraucherschutz",Unternehmen,25.02.2022,14.03.2023
ALM - Akkreditierte Labore in der Medizin e.V.,R001160,5,195000,2022-01-01,2022-12-01,"Arbeitsrecht/Arbeitsbedingungen; Berufliche Bildung; Hochschulbildung; Parlamentarisches Verfahren; Gesundheitsförderung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""; Datenschutz und Informationssicherheit; Digitalisierung; Kommunikations- und Informationstechnik; Krankenversicherung; Versorgungssicherheit im Gesundheitswesen",Berufsverband,24.02.2022,28.02.2024
ALP - Advanced Level Politics GmbH,R001851,5,525000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Außenwirtschaft; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Familienpolitik; Geschlechterpolitik; Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""; Kultur; Land- und Forstwirtschaft; Lebensmittelsicherheit; Lebens- und Genussmittelindustrie; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Werbung; Öffentliche Finanzen, Steuern und Abgaben; Bauwesen und Bauwirtschaft; Ländlicher Raum; Wohnen; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Sonstiges im Bereich ""Soziale Sicherung""; Verwaltungstransparenz/Open Government; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Luft- und Raumfahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Bank- und Finanzwesen; Handel und Dienstleistungen; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie","Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",27.02.2022,19.02.2024
ANDREAS STIHL AG & Co. KG,R003526,5,195000,2022-01-01,2022-12-01,"Außenwirtschaft; Parlamentarisches Verfahren; Erneuerbare Energien; Fossile Energien; EU-Binnenmarkt; EU-Gesetzgebung; Land- und Forstwirtschaft; Digitalisierung; Internetpolitik; Urheberrecht; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Automobilwirtschaft; Industriepolitik; Kleine und mittlere Unternehmen; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",Unternehmen,16.03.2022,15.06.2023
ANGA Der Breitbandverband e.V.,R002231,5,325000,2022-01-01,2022-12-01,Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Massenmedien; Urheberrecht,Wirtschaftsverband oder Gewerbeverband/-verein,28.02.2022,03.07.2023
AOK-Bundesverband,R000892,15,835000,2022-01-01,2022-12-01,"Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Krankenversicherung; Pflegeversicherung",Sonstige Organisation,22.02.2022,17.02.2023
APCO Worldwide GmbH,R002330,25,355000,2022-01-01,2022-12-01,"Außenpolitik; Internationale Beziehungen; Außenwirtschaft; Parlamentarisches Verfahren; Allgemeine Energiepolitik; Erneuerbare Energien; EU-Binnenmarkt; EU-Gesetzgebung; Institutionelle Fragen der EU; Arzneimittel; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""; Cybersicherheit; Digitalisierung; Internetpolitik; Öffentliche Finanzen, Steuern und Abgaben; Nachhaltigkeit und Ressourcenschutz; Personenverkehr; Straßenverkehr; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Automobilwirtschaft; Bank- und Finanzwesen; E-Commerce; Industriepolitik; Verbraucherschutz; Sonstiges im Bereich ""Wirtschaft""","Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",28.02.2022,14.03.2024
APRI - Africa Policy Research Private Institute gUG,R006603,1,135000,2023-01-01,2023-12-01,"Außenpolitik; Internationale Beziehungen; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Außenwirtschaft; Erneuerbare Energien; Entwicklungspolitik; Gemeinsame Außen- und Sicherheitspolitik der EU; Migration; Artenschutz /Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Industriepolitik; Wissenschaft, Forschung und Technologie",Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,08.04.2024,–
APWPT e.V.,R000133,1,45000,2022-01-01,2022-12-01,"Kultur; Industriepolitik; Sonstiges im Bereich ""Wirtschaft""",Privatrechtliche Organisation,21.01.2022,10.04.2024
ARAG,R002574,5,285000,2022-01-01,2022-12-01,"Außenpolitik; Internationale Beziehungen; Außenwirtschaft; Parlamentarisches Verfahren; EU-Binnenmarkt; EU-Gesetzgebung; Diversitätspolitik; Opferschutz; Sonstiges im Bereich ""Innere Sicherheit""; Rechtspolitik; Sonstiges im Bereich ""Recht""; Krankenversicherung; Pflegeversicherung; Unfallversicherung; Breitensport; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Verbraucherschutz; Versicherungswesen",Unternehmen,02.03.2022,27.09.2023
ARGE Netz GmbH & Co. KG,R003496,5,345000,2022-01-01,2022-12-01,"Parlamentarisches Verfahren; Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; Entwicklungspolitik; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Land- und Forstwirtschaft; Datenschutz und Informationssicherheit; Digitalisierung; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Artenschutz /Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Sonstiges im Bereich ""Umwelt""; Personenverkehr; Verkehrsinfrastruktur; Industriepolitik; Kleine und mittlere Unternehmen; Wissenschaft, Forschung und Technologie",Unternehmen,16.03.2022,29.03.2023
ASA-Bundesverband der Hersteller und Importeure von Automobil-,R000718,1,105000,2022-01-01,2022-12-01,Automobilwirtschaft; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Wettbewerbsrecht,Wirtschaftsverband oder Gewerbeverband/-verein,21.02.2022,10.11.2023
ASML Berlin GmbH,R005213,5,305000,2022-01-01,2022-12-01,"Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Öffentliches Recht; Rechtspolitik; Zivilrecht; Sonstiges im Bereich ""Recht""; Industriepolitik; Wissenschaft, Forschung und Technologie",Unternehmen,19.09.2022,25.07.2023
AT&T Global Network Services Belgium Luxembourg - Besloten,R004272,1,45000,2023-01-01,2023-12-01,"Außenpolitik; Internationale Beziehungen; Außenwirtschaft; EU-Binnenmarkt; EU-Gesetzgebung; Cybersicherheit; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; E-Commerce; Handel und Dienstleistungen; Verbraucherschutz; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Unternehmen,21.04.2022,22.04.2024
AUDI AG,R001702,115,775000,2022-01-01,2022-12-01,"Arbeitsmarkt; Arbeitsrecht/Arbeitsbedingungen; Sonstiges im Bereich ""Arbeit und Beschäftigung""; Internationale Beziehungen; Menschenrechte; Außenwirtschaft; Parlamentarisches Verfahren; Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU- Gesetzgebung; Diversitätspolitik; Geschlechterpolitik; Gesundheitsversorgung; Cybersicherheit; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Urheberrecht; Werbung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Integration; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Öffentliches Recht; Rechtspolitik; Strafrecht; Zivilrecht; Sonstiges im Bereich ""Recht""; Arbeitslosenversicherung; Grundsicherung; Krankenversicherung; Pflegeversicherung; Rente/Alterssicherung; Unfallversicherung; Sonstiges im Bereich ""Soziale Sicherung""; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Güterverkehr; Personenverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Sonstiges im Bereich ""Verkehr""; Automobilwirtschaft; Industriepolitik; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Unternehmen,25.02.2022,29.11.2023
AUTOFLUG GmbH,R001912,15,15000,2022-04-01,2023-03-01,"Internationale Beziehungen; Außenwirtschaft; Parlamentarisches Verfahren; Gemeinsame Außen- und Sicherheitspolitik der EU; Sonstiges im Bereich ""Innere Sicherheit""; Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Sonstiges im Bereich ""Verteidigung""; Industriepolitik; Kleine und mittlere Unternehmen; Wissenschaft, Forschung und Technologie",Unternehmen,28.02.2022,11.09.2023
AWI Automaten-Wirtschaftsverbände-Info GmbH,R001397,5,115000,2022-01-01,2022-12-01,"Sonstiges im Bereich ""Gesundheit""; Öffentliche Finanzen, Steuern und Abgaben; Öffentliches Recht; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Handel und Dienstleistungen; Industriepolitik; Kleine und mittlere Unternehmen; Verbraucherschutz; Sonstiges im Bereich ""Wirtschaft""",Unternehmen,24.02.2022,23.06.2023
AWO Bundesverband e.V.,R002224,35,245000,2022-01-01,2022-12-01,"EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Diversitätspolitik; Familienpolitik; Geschlechterpolitik; Kinder- und Jugendpolitik; Rechte von Menschen mit Behinderung; Seniorenpolitik; Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Gesundheitsförderung; Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Asyl und Flüchtlingsschutz; Ausländer- und Aufenthaltsrecht; Integration; Migration; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""; Arbeitslosenversicherung; Grundsicherung; Krankenversicherung; Pflegeversicherung; Rente /Alterssicherung; Unfallversicherung; Sonstiges im Bereich ""Soziale Sicherung""; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""","Privatrechtliche Organisation mit Gemeinwohlaufgaben (z. B. eingetragene Vereine, Stiftungen) (GL2022)",28.02.2022,10.04.2024
AZuR-Netzwerk - CGW GmbH,R004974,5,105000,2022-01-01,2022-12-01,Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Straßenverkehr,Unternehmen,21.07.2022,09.06.2023
Aareal Bank AG,R002057,25,475000,2022-01-01,2022-12-01,"EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Klimaschutz; Bank- und Finanzwesen; Handel und Dienstleistungen; Verbraucherschutz; Sustainable Finance",Unternehmen,28.02.2022,23.02.2024
AbbVie Deutschland GmbH & Co. KG,R000796,25,1175000,2023-01-01,2023-12-01,"Außenwirtschaft; Erneuerbare Energien; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Arzneimittel; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""; Krankenversicherung; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Industriepolitik; Wissenschaft, Forschung und Technologie",Unternehmen,22.02.2022,12.04.2024
Abbott Laboratories Deutschland GmbH,R001805,5,595000,2022-01-01,2022-12-01,"Außenwirtschaft; Allgemeine Energiepolitik; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""; Sonstiges im Bereich ""Umwelt""; Industriepolitik",Unternehmen,26.02.2022,12.12.2023
Accenture GmbH,R002474,5,245000,2022-09-01,2023-08-01,"Sonstiges im Bereich ""Arbeit und Beschäftigung""; Sonstiges im Bereich ""Energie""; Sonstiges im Bereich ""Innere Sicherheit""; Datenschutz und Informationssicherheit; Digitalisierung; Kommunikations- und Informationstechnik; Öffentliche Finanzen, Steuern und Abgaben; Politisches Leben, Parteien; Bauwesen und Bauwirtschaft; Arbeitslosenversicherung; Grundsicherung; Rente/Alterssicherung; Öffentlicher Dienst und öffentliche Verwaltung; Staatsorganisation; Verwaltungstransparenz/Open Government; Sonstiges im Bereich ""Staat und Verwaltung""; Nachhaltigkeit und Ressourcenschutz; Industriepolitik; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",Unternehmen,01.03.2022,24.04.2024
