Name,RegNr,Ersteintrag,LetzteÄnd,Tätigkeit,Interessen,FinanzAufw,Betrag,Geschäftsjahr,VollzeitEquiv,Regelungen,Stellungnahmen,GrundVerweig,Beschäftigte,Auftraggeber
Brillant 3333. GmbH,R006646,23.04.2024,–,Unternehmen,Cybersicherheit; Datenschutz und Informationssicherheit; Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik,,90.001 bis 100.000 Euro,01/23 bis 12/23,0.38,0,,,,
Theben Smart Energy GmbH,R006645,23.04.2024,–,Unternehmen,Allgemeine Energiepolitik; Energienetze,,10.001 bis 20.000 Euro,01/23 bis 12/23,0.20,0,,,,
Matthias Lehna,R006644,22.04.2024,–,Unternehmen,"Außenpolitik; Internationale Beziehungen; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Außenwirtschaft; EU-Binnenmarkt; EU- Gesetzgebung; Gemeinsame Außen- und Sicherheitspolitik der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Bevölkerungsschutz und Katastrophenhilfe; Extremismusbekämpfung; Kriminalitätsbekämpfung; Terrorismusbekämpfung; Sonstiges im Bereich ""Innere Sicherheit""; Kommunikations- und Informationstechnik; Breitensport; Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Sonstiges im Bereich ""Verteidigung""; Kleine und mittlere Unternehmen; Wissenschaft, Forschung und Technologie","Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",,,"Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",0,,,,
Hy.Region.Rhein.Ruhr,R006643,22.04.2024,–,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""",,0 Euro,01/23 bis 12/23,0.00,0,,,,
Scope SE & Co. KGaA,R006642,22.04.2024,–,Unternehmen,EU-Gesetzgebung; Bank- und Finanzwesen,,1 bis 10.000 Euro,01/23 bis 12/23,0.10,0,,,,
Sonoco Consumer Products Europe,R006641,22.04.2024,–,Unternehmen,Lebensmittelsicherheit; Nachhaltigkeit und Ressourcenschutz,,0 Euro,01/23 bis 12/23,0.00,0,,,,
GreenGo Energy Germany GmbH,R006640,22.04.2024,–,Unternehmen,"Erneuerbare Energien; Sonstiges im Bereich ""Landwirtschaft und Ernährung""; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""",,20.001 bis 30.000 Euro,01/23 bis 12/23,0.00,0,,,,
Medizinischer Dienst Bayern,R006639,19.04.2024,19.04.2024,Juristische Person des öffentlichen Rechts,"Gesundheitsversorgung; Pflege; Sonstiges im Bereich ""Gesundheit""; Krankenversicherung; Pflegeversicherung",,1 bis 10.000 Euro,01/23 bis 12/23,2.00,1,,,,
Deutscher Fachverband für Verhaltenstherapie (DVT e.V.),R006638,19.04.2024,–,Berufsverband,"Berufliche Bildung; Gesundheitsförderung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""",,0 Euro,01/23 bis 12/23,0.75,0,,,,
Wattner AG,R006637,19.04.2024,–,Unternehmen,"Allgemeine Energiepolitik; Energienetze; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; EU-Gesetzgebung; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz",,40.001 bis 50.000 Euro,01/23 bis 12/23,0.00,1,,,,
Fluorchemie Dohna,R006636,19.04.2024,–,Unternehmen,"Arbeitsrecht/Arbeitsbedingungen; Internationale Beziehungen; Außenwirtschaft; Allgemeine Energiepolitik; EU-Binnenmarkt; Sonstiges im Bereich ""Recht""; Nachhaltigkeit und Ressourcenschutz; Industriepolitik; Kleine und mittlere Unternehmen; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,01/23 bis 12/23,10.00,3,,,,
Deutscher Sprengverband e.V.,R006635,18.04.2024,–,Berufsverband,Berufliche Bildung; Fachbereiche Sprengtechnik und Pyrotechnik,,110.001 bis 120.000 Euro,01/23 bis 12/23,20.00,1,,,,
Corinna Kawaters Kommunikationsberatung,R006634,18.04.2024,–,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater","Außenwirtschaft; Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU-Gesetzgebung; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Industriepolitik; Sonstiges im Bereich ""Wirtschaft""; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,01/23 bis 12/23,0.10,1,1,,,
Verband für nachhaltige Agri-Photovoltaik (VnAP) e.V.,R006633,18.04.2024,–,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,Erneuerbare Energien; Land- und Forstwirtschaft,"Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",,,"Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",0,,,,
GGW Group,R006632,18.04.2024,–,Unternehmen,Außenpolitik; Internationale Beziehungen; Außenwirtschaft; Allgemeine Energiepolitik; Erneuerbare Energien,,0 Euro,01/23 bis 12/23,0.00,1,1,,,
Deutsche Hängegleiterverband e.V. (DHV),R006631,18.04.2024,18.04.2024,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Breitensport; Profisport; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""; Luft- und Raumfahrt",,0 Euro,01/23 bis 12/23,0.10,0,,,,
Mirko Welsch,R006630,17.04.2024,–,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater","Parlamentarisches Verfahren; Wahlrecht; Institutionelle Fragen der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Diversitätspolitik; Familienpolitik; Geschlechterpolitik; Rechte von Menschen mit Behinderung; Meinungs- und Pressefreiheit; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Politisches Leben, Parteien; Sonstiges im Bereich ""Staat und Verwaltung""","Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",,,"Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",0,,,,
ESF Elbe-Stahlwerke Feralpi GmbH,R006629,17.04.2024,–,Unternehmen,"Arbeitsmarkt; Außenwirtschaft; Allgemeine Energiepolitik; Atomenergie; Energienetze; Erneuerbare Energien; Fossile Energien; Sonstiges im Bereich ""Energie""; EU-Binnenmarkt; EU-Gesetzgebung; Integration; Bauwesen und Bauwirtschaft; Ländlicher Raum; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Güterverkehr; Schienenverkehr; Schifffahrt; Straßenverkehr; Verkehrsinfrastruktur; Verkehrspolitik; Handel und Dienstleistungen; Industriepolitik; Wissenschaft, Forschung und Technologie",,0 Euro,01/23 bis 12/23,769.00,0,,,,
Stiftungen für Bildung,R006628,17.04.2024,–,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Berufliche Bildung; Hochschulbildung; Schulische Bildung; Vorschulische Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,06/22 bis 05/23,4.00,0,,,,
Health + Life Science Alliance Heidelberg Mannheim,R006627,17.04.2024,–,"Wissenschaft, Hochschule oder Forschungseinrichtung","Arzneimittel; Gesundheitsförderung; Gesundheitsversorgung; Wissenschaft, Forschung und Technologie",,0 Euro,01/23 bis 12/23,0.00,0,,,,
Zusammenkunft aller Physik Fachschaften e.V.,R006626,16.04.2024,–,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Arbeitsrecht/Arbeitsbedingungen; Hochschulbildung; Schulische Bildung; Geschlechterpolitik; Sonstiges im Bereich ""Soziale Sicherung""; Wissenschaft, Forschung und Technologie",,0 Euro,01/23 bis 12/23,0.00,0,,,,
Vantage Data Centers Germany GmbH,R006625,16.04.2024,17.04.2024,Unternehmen,"Allgemeine Energiepolitik; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Sonstiges im Bereich ""Umwelt""",,1 bis 10.000 Euro,01/23 bis 12/23,0.00,5,,,,
Weiterbildung Hessen e.V.,R006624,16.04.2024,–,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Arbeitsmarkt; Berufliche Bildung; Sonstiges im Bereich ""Bildung und Erziehung""; Verbraucherschutz",,1 bis 10.000 Euro,01/23 bis 12/23,7.48,1,,,,
EEF Erneuerbare Energien Fabrik GmbH,R006623,15.04.2024,15.04.2024,Unternehmen,"Allgemeine Energiepolitik; Erneuerbare Energien; Sonstiges im Bereich ""Energie""; Politisches Leben, Parteien; Sonstiges im Bereich ""Raumordnung, Bau- und Wohnungswesen""; Artenschutz/Biodiversität; Immissionsschutz; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Sonstiges im Bereich ""Umwelt""; Industriepolitik",,0 Euro,05/23 bis 12/23,0.00,2,,,,
Prof. Dr. Jörn von Lucke Diplom Wirtschaftsinformatiker,R006622,13.04.2024,–,"Wissenschaft, Hochschule oder Forschungseinrichtung","Sonstiges im Bereich ""Bundestag""; Sonstiges im Bereich ""Innere Sicherheit""; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Massenmedien; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentliches Recht; Krankenversicherung; Rente /Alterssicherung; Öffentlicher Dienst und öffentliche Verwaltung; Staatsorganisation; Verwaltungstransparenz/Open Government; Sonstiges im Bereich ""Staat und Verwaltung""; Sonstiges im Bereich ""Umwelt""; Sonstiges im Bereich ""Verkehr""; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,01/23 bis 12/23,0.05,0,,,,
Verein für BewegungskUNSt Celle e.V.,R006621,13.04.2024,–,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Gesundheitsförderung; Breitensport; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""",,30.001 bis 40.000 Euro,01/23 bis 12/23,144.00,4,,,,
Sandro Gianella - OpenAI,R006620,12.04.2024,–,Unternehmen,"Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,01/23 bis 12/23,0.10,0,,,,
Joachim Lindenberg,R006619,12.04.2024,–,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater",Cybersicherheit; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Meinungs- und Pressefreiheit; Urheberrecht; Verwaltungstransparenz/Open Government; Verbraucherschutz,,0 Euro,01/23 bis 12/23,0.05,1,,,,
Adolf Würth GmbH & Co. KG,R006618,12.04.2024,–,Unternehmen,Arbeitsrecht/Arbeitsbedingungen; Außenwirtschaft,,490.001 bis 500.000 Euro,01/23 bis 12/23,0.50,1,,,,
Förderkreis Biozyklisch-Veganer Anbau e.V.,R006617,10.04.2024,–,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,Berufliche Bildung; Hochschulbildung; Land- und Forstwirtschaft; Artenschutz/Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Tierschutz; Verbraucherschutz,,0 Euro,01/23 bis 12/23,0.00,0,,,,
Deutsche Bläserjugend,R006616,10.04.2024,–,Privatrechtliche Organisation,"Sonstiges im Bereich ""Bildung und Erziehung""; Kinder- und Jugendpolitik; Kultur",,1 bis 10.000 Euro,01/23 bis 12/23,1.00,0,,,,
Brandenburgischer Schützenbund e.V.,R006615,09.04.2024,–,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Breitensport; Sonstiges im Bereich ""Sport, Freizeit und Tourismus""",,0 Euro,01/23 bis 12/23,1.00,0,,,,
Bundesarbeitsgemeinschaft Psychosoziale Versorgung im,R006614,09.04.2024,–,"Plattform, Netzwerk, Interessengemeinschaft, Denkfabrik, Initiative, Aktionsbündnis o. ä.",Gesundheitsversorgung,,0 Euro,01/23 bis 12/23,0.05,0,,,,
Ludwig-Erhard-Stiftung e.V.,R006613,09.04.2024,26.04.2024,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Allgemeine Energiepolitik; EU-Binnenmarkt; Digitalisierung; Öffentliche Finanzen, Steuern und Abgaben; Rente/Alterssicherung; Öffentlicher Dienst und öffentliche Verwaltung; Bank- und Finanzwesen; E-Commerce; Handel und Dienstleistungen; Handwerk; Industriepolitik; Kleine und mittlere Unternehmen; Wettbewerbsrecht; Sonstiges im Bereich ""Wirtschaft""",,0 Euro,01/23 bis 12/23,0.00,1,,,,
Arbeitsgemeinschaft der Handwerkskammern Rheinland-Pfalz,R006612,09.04.2024,–,Privatrechtlich organisierter Zusammenschluss von Kammern,Berufliche Bildung; Handwerk,,30.001 bis 40.000 Euro,07/23 bis 12/23,0.00,0,,,,
Deutsche Sektion der Internationalen Ärzt*innen für die Verhütung des,R006611,09.04.2024,–,Nichtregierungsorganisation (NGO),"Außenpolitik; Internationale Beziehungen; Menschenrechte; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Atomenergie; Erneuerbare Energien; Entwicklungspolitik; Sonstiges im Bereich ""Gesundheit""; Asyl und Flüchtlingsschutz; Ausländer- und Aufenthaltsrecht; Migration; Sonstiges im Bereich ""Migration, Flüchtlingspolitik und Integration""; Klimaschutz; Sonstiges im Bereich ""Umwelt""; Rüstungsangelegenheiten; Sonstiges im Bereich ""Verteidigung""; Wissenschaft, Forschung und Technologie; Friedenspolitik, nukleare Abrüstung, Verhütung des Atomkrieges",,1 bis 10.000 Euro,01/23 bis 12/23,0.02,0,,,,
Distressed Ladies Women in Restructuring e.V.,R006610,09.04.2024,–,Privatrechtliche Organisation,"Rechtspolitik; Zivilrecht; Sonstiges im Bereich ""Recht""",,0 Euro,01/23 bis 12/23,0.00,1,1,,,
1 A Pharma GmbH,R006609,09.04.2024,–,Unternehmen,Arzneimittel,,200.001 bis 210.000 Euro,01/23 bis 12/23,0.00,1,,,,
Liebherr-Aerospace Lindenberg GmbH,R006608,09.04.2024,16.04.2024,Unternehmen,"Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Parlamentarisches Verfahren; Sonstiges im Bereich ""Bundestag""; Luft- und Raumfahrt; Schienenverkehr; Bundeswehrangelegenheiten; Rüstungsangelegenheiten; Verteidigungspolitik; Sonstiges im Bereich ""Verteidigung""",,0 Euro,01/23 bis 12/23,0.00,0,,,,
Finn Ridinger,R006607,08.04.2024,–,Privatperson,"Wahlrecht; Gewährleistung gleichwertiger Lebensverhältnisse; Asyl und Flüchtlingsschutz; Integration; Politisches Leben, Parteien; Mobbing","Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",,,"Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",0,,,,
Ryanair DAC,R006606,08.04.2024,–,Unternehmen,"Arbeitsmarkt; Sonstiges im Bereich ""Energie""; EU- Binnenmarkt; EU-Gesetzgebung; Öffentliche Finanzen, Steuern und Abgaben; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Luft- und Raumfahrt; Verkehrsinfrastruktur; Verkehrspolitik; E-Commerce; Verbraucherschutz; Wettbewerbsrecht; Wissenschaft, Forschung und Technologie",,10.001 bis 20.000 Euro,04/23 bis 03/24,0.10,0,,,,
Agora Digitale Transformation gGmbH,R006605,08.04.2024,23.04.2024,"Plattform, Netzwerk, Interessengemeinschaft, Denkfabrik, Initiative, Aktionsbündnis o. ä.","Sonstiges im Bereich ""Gesellschaftspolitik und soziale Gruppen""; Datenschutz und Informationssicherheit; Digitalisierung; Internetpolitik; Kommunikations- und Informationstechnik; Massenmedien; Meinungs- und Pressefreiheit; Urheberrecht; Werbung; Sonstiges im Bereich ""Medien, Kommunikation und Informationstechnik""; Öffentlicher Dienst und öffentliche Verwaltung; Staatsorganisation; Verwaltungstransparenz/Open Government; Sonstiges im Bereich ""Staat und Verwaltung""; Wissenschaft, Forschung und Technologie",,1 bis 10.000 Euro,01/23 bis 12/23,7.80,2,,,,
VDI/VDE Innovation + Technik GmbH,R006604,08.04.2024,19.04.2024,"Beratungsunternehmen, selbständige Beraterin oder selbständiger Berater","Wissenschaft, Forschung und Technologie",,0 Euro,01/23 bis 12/23,0.00,0,,,,
APRI - Africa Policy Research Private Institute gUG,R006603,08.04.2024,–,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Außenpolitik; Internationale Beziehungen; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Außenwirtschaft; Erneuerbare Energien; Entwicklungspolitik; Gemeinsame Außen- und Sicherheitspolitik der EU; Migration; Artenschutz /Biodiversität; Klimaschutz; Nachhaltigkeit und Ressourcenschutz; Industriepolitik; Wissenschaft, Forschung und Technologie",,130.001 bis 140.000 Euro,01/23 bis 12/23,9.50,0,,,,
Interessengemeinschaft der Benannten Stellen für Medizinprodukte in,R006602,08.04.2024,12.04.2024,"Plattform, Netzwerk, Interessengemeinschaft, Denkfabrik, Initiative, Aktionsbündnis o. ä.","EU-Binnenmarkt; Sonstiges im Bereich ""Gesundheit""; Verbraucherschutz; Sonstiges im Bereich ""Wirtschaft""; Medizinprodukte",,10.001 bis 20.000 Euro,01/23 bis 12/23,0.15,0,,,,
Flughafen Berlin Brandenburg GmbH,R006601,08.04.2024,17.04.2024,Unternehmen,Luft- und Raumfahrt,,270.001 bis 280.000 Euro,01/23 bis 12/23,5.00,2,,,,
HG Innovation Limited,R006600,08.04.2024,08.04.2024,Unternehmen,"Außenwirtschaft; EU-Binnenmarkt; EU-Gesetzgebung; Gesundheitsförderung; Öffentliche Finanzen, Steuern und Abgaben; Nachhaltigkeit und Ressourcenschutz","Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",,,"Keine Angaben, da noch kein Geschäftsjahr vollständig abgeschlossen wurde.",0,,,,
Europäische Akademie Berlin,R006599,05.04.2024,–,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Außenpolitik; Auswärtige Kultur- und Bildungspolitik; Internationale Beziehungen; Menschenrechte; Sonstiges im Bereich ""Außenpolitik und internationale Beziehungen""; Sonstiges im Bereich ""Bildung und Erziehung""; Aufarbeitung SED- Unrecht; Sonstiges im Bereich ""Deutsche Einheit""; EU-Binnenmarkt; EU-Gesetzgebung; Gemeinsame Außen- und Sicherheitspolitik der EU; Institutionelle Fragen der EU; Polizeiliche und justizielle Zusammenarbeit in der EU; Sonstiges im Bereich ""Europapolitik und Europäische Union""; Geschlechterpolitik; Kultur; Kommunikations- und Informationstechnik; Politisches Leben, Parteien; Staatsorganisation",,0 Euro,01/23 bis 12/23,29.53,0,,,,
Poliklinik Syndikat - Verband der solidarischen Gesundheitszentren e.,R006598,05.04.2024,–,Privatrechtliche Organisation mit Anerkennung der Gemeinnützigkeit nach Abgabenordnung,"Gesundheitsförderung; Gesundheitsversorgung; Sonstiges im Bereich ""Gesundheit""",,0 Euro,05/23 bis 12/23,0.00,0,,,,
BASF Personal Care and Nutrition GmbH,R006597,05.04.2024,–,Unternehmen,"Sonstiges im Bereich ""Energie""; Sonstiges im Bereich ""Staat und Verwaltung""; Sonstiges im Bereich ""Umwelt""; Sonstiges im Bereich ""Wirtschaft""",,1 bis 10.000 Euro,01/23 bis 12/23,0.10,1,,,,
